|6.6.6
primRef_1.tab
           2
T(K)    
   300.00000000000000     
   31.623076923076923     
          118
P(bar)  
   1.0000000000000000     
   11965.794871794871     
          118
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
3.000000000000000000e+02 1.000000000000000000e+00 -4.036000000000000000e+10 3.140539999999999964e+03 9.226590000000000000e+05 6.115730000000000000e+05
3.316229999999999905e+02 1.000000000000000000e+00 -4.025360000000000000e+10 3.139050000000000182e+03 9.208160000000000000e+05 6.090100000000000000e+05
3.632459999999999809e+02 1.000000000000000000e+00 -4.014190000000000000e+10 3.137480000000000018e+03 9.188770000000000000e+05 6.063210000000000000e+05
3.948690000000000282e+02 1.000000000000000000e+00 -4.002580000000000000e+10 3.135840000000000146e+03 9.168560000000000000e+05 6.035310000000000000e+05
4.264920000000000186e+02 1.000000000000000000e+00 -3.990620000000000000e+10 3.134150000000000091e+03 9.147650000000000000e+05 6.006580000000000000e+05
4.581150000000000091e+02 1.000000000000000000e+00 -3.978360000000000000e+10 3.132400000000000091e+03 9.126140000000000000e+05 5.977150000000000000e+05
4.897379999999999995e+02 1.000000000000000000e+00 -3.965850000000000000e+10 3.130610000000000127e+03 9.104090000000000000e+05 5.947130000000000000e+05
5.213619999999999663e+02 1.000000000000000000e+00 -3.953130000000000000e+10 3.128780000000000200e+03 9.081560000000000000e+05 5.916620000000000000e+05
5.529850000000000136e+02 1.000000000000000000e+00 -3.940230000000000000e+10 3.126920000000000073e+03 9.058600000000000000e+05 5.885690000000000000e+05
5.846079999999999472e+02 1.000000000000000000e+00 -3.927180000000000000e+10 3.125019999999999982e+03 9.035250000000000000e+05 5.854380000000000000e+05
6.162309999999999945e+02 1.000000000000000000e+00 -3.913990000000000000e+10 3.123099999999999909e+03 9.011520000000000000e+05 5.822760000000000000e+05
6.478540000000000418e+02 1.000000000000000000e+00 -3.900680000000000000e+10 3.121139999999999873e+03 8.987440000000000000e+05 5.790850000000000000e+05
6.794769999999999754e+02 1.000000000000000000e+00 -3.887260000000000000e+10 3.119159999999999854e+03 8.963030000000000000e+05 5.758680000000000000e+05
7.111000000000000227e+02 1.000000000000000000e+00 -3.873750000000000000e+10 3.117150000000000091e+03 8.938300000000000000e+05 5.726290000000000000e+05
7.427229999999999563e+02 1.000000000000000000e+00 -3.860150000000000000e+10 3.115119999999999891e+03 8.913270000000000000e+05 5.693690000000000000e+05
7.743460000000000036e+02 1.000000000000000000e+00 -3.846470000000000000e+10 3.113059999999999945e+03 8.887940000000000000e+05 5.660910000000000000e+05
8.059690000000000509e+02 1.000000000000000000e+00 -3.832720000000000000e+10 3.110980000000000018e+03 8.862310000000000000e+05 5.627950000000000000e+05
8.375919999999999845e+02 1.000000000000000000e+00 -3.818910000000000000e+10 3.108869999999999891e+03 8.836400000000000000e+05 5.594830000000000000e+05
8.692150000000000318e+02 1.000000000000000000e+00 -3.805030000000000000e+10 3.106739999999999782e+03 8.810200000000000000e+05 5.561560000000000000e+05
9.008379999999999654e+02 1.000000000000000000e+00 -3.791100000000000000e+10 3.104590000000000146e+03 8.783730000000000000e+05 5.528150000000000000e+05
9.324619999999999891e+02 1.000000000000000000e+00 -3.777110000000000000e+10 3.102420000000000073e+03 8.756960000000000000e+05 5.494610000000000000e+05
9.640850000000000364e+02 1.000000000000000000e+00 -3.763070000000000000e+10 3.100230000000000018e+03 8.729920000000000000e+05 5.460940000000000000e+05
9.957079999999999700e+02 1.000000000000000000e+00 -3.748990000000000000e+10 3.098010000000000218e+03 8.702590000000000000e+05 5.427150000000000000e+05
1.027329999999999927e+03 1.000000000000000000e+00 -3.734860000000000000e+10 3.095769999999999982e+03 8.674970000000000000e+05 5.393250000000000000e+05
1.058950000000000045e+03 1.000000000000000000e+00 -3.720680000000000000e+10 3.093500000000000000e+03 8.647070000000000000e+05 5.359230000000000000e+05
1.090579999999999927e+03 1.000000000000000000e+00 -3.706470000000000000e+10 3.091219999999999800e+03 8.618870000000000000e+05 5.325100000000000000e+05
