|6.6.6
primRef_quadrant6_1.tab                                                                             
           2
T(K)    
   300.00000000000000     
   31.623076923076923     
          40
P(bar)  
   933334.00000000000     
   11965.794871794871     
          40
           6
T(K)           P(bar)         mode           rho,kg/m3      Ks,bar         Gs,bar        
  300.000        933334.       0.372467E+011   5448.40       0.599741E+007  0.279111E+007
  331.623        933334.       0.372585E+011   5433.55       0.604477E+007  0.277378E+007
  363.246        933334.       0.373440E+011   5428.90       0.605421E+007  0.276697E+007
  394.869        933334.       0.374588E+011   5427.47       0.605112E+007  0.276337E+007
  426.492        933334.       0.375814E+011   5425.95       0.604782E+007  0.275953E+007
  458.115        933334.       0.377107E+011   5424.34       0.604433E+007  0.275549E+007
  489.738        933334.       0.378458E+011   5422.65       0.604069E+007  0.275125E+007
  521.362        933334.       0.379859E+011   5420.90       0.603690E+007  0.274686E+007
  552.985        933334.       0.381304E+011   5419.10       0.603300E+007  0.274233E+007
  584.608        933334.       0.382787E+011   5417.24       0.602899E+007  0.273767E+007
  616.231        933334.       0.384303E+011   5415.35       0.602489E+007  0.273291E+007
  647.854        933334.       0.385848E+011   5413.41       0.602071E+007  0.272806E+007
  679.477        933334.       0.387418E+011   5411.44       0.601646E+007  0.272311E+007
  711.100        933334.       0.389012E+011   5409.44       0.601214E+007  0.271810E+007
  742.723        933334.       0.390625E+011   5407.41       0.600777E+007  0.271301E+007
  774.346        933334.       0.392257E+011   5405.36       0.600334E+007  0.270787E+007
  805.969        933334.       0.393904E+011   5403.28       0.599887E+007  0.270267E+007
  837.592        933334.       0.395566E+011   5401.18       0.599436E+007  0.269742E+007
  869.215        933334.       0.397240E+011   5399.07       0.598981E+007  0.269213E+007
  900.838        933334.       0.398926E+011   5396.94       0.598522E+007  0.268680E+007
  932.462        933334.       0.400622E+011   5394.79       0.598061E+007  0.268142E+007
  964.085        933334.       0.402327E+011   5392.63       0.597596E+007  0.267602E+007
  995.708        933334.       0.404041E+011   5390.46       0.597129E+007  0.267058E+007
  1027.33        933334.       0.405763E+011   5388.27       0.596660E+007  0.266511E+007
  1058.95        933334.       0.407491E+011   5386.07       0.596188E+007  0.265962E+007
  1090.58        933334.       0.409226E+011   5383.86       0.595715E+007  0.265410E+007
  1122.20        933334.       0.410967E+011   5381.65       0.595239E+007  0.264855E+007
  1153.82        933334.       0.412713E+011   5379.42       0.594762E+007  0.264299E+007
  1185.45        933334.       0.414464E+011   5377.18       0.594283E+007  0.263740E+007
  1217.07        933334.       0.416219E+011   5374.93       0.593802E+007  0.263179E+007
  1248.69        933334.       0.417978E+011   5372.68       0.593320E+007  0.262617E+007
  1280.32        933334.       0.419741E+011   5370.42       0.592837E+007  0.262052E+007
  1311.94        933334.       0.421507E+011   5368.15       0.592352E+007  0.261487E+007
  1343.56        933334.       0.423276E+011   5365.88       0.591866E+007  0.260919E+007
  1375.18        933334.       0.425048E+011   5363.60       0.591379E+007  0.260350E+007
  1406.81        933334.       0.426823E+011   5361.31       0.590891E+007  0.259780E+007
  1438.43        933334.       0.428601E+011   5359.02       0.590402E+007  0.259208E+007
  1470.05        933334.       0.430380E+011   5356.72       0.589912E+007  0.258635E+007
  1501.68        933334.       0.432161E+011   5354.41       0.589421E+007  0.258061E+007
  1533.30        933334.       0.433945E+011   5352.10       0.588929E+007  0.257485E+007
  300.000        945300.       0.386553E+011   5481.99       0.595725E+007  0.282920E+007
  331.623        945300.       0.387053E+011   5473.56       0.598034E+007  0.281819E+007
  363.246        945300.       0.387579E+011   5463.64       0.600830E+007  0.280536E+007
  394.869        945300.       0.388090E+011   5451.82       0.604297E+007  0.279024E+007
  426.492        945300.       0.388536E+011   5437.46       0.608704E+007  0.277211E+007
  458.115        945300.       0.389781E+011   5435.11       0.608637E+007  0.276724E+007
  489.738        945300.       0.391129E+011   5433.43       0.608274E+007  0.276302E+007
  521.362        945300.       0.392528E+011   5431.69       0.607897E+007  0.275864E+007
  552.985        945300.       0.393971E+011   5429.90       0.607508E+007  0.275413E+007
  584.608        945300.       0.395452E+011   5428.06       0.607108E+007  0.274949E+007
  616.231        945300.       0.396966E+011   5426.17       0.606699E+007  0.274475E+007
  647.854        945300.       0.398509E+011   5424.24       0.606282E+007  0.273990E+007
  679.477        945300.       0.400078E+011   5422.28       0.605858E+007  0.273498E+007
  711.100        945300.       0.401670E+011   5420.29       0.605427E+007  0.272998E+007
  742.723        945300.       0.403282E+011   5418.27       0.604991E+007  0.272491E+007
  774.346        945300.       0.404912E+011   5416.23       0.604549E+007  0.271978E+007
  805.969        945300.       0.406558E+011   5414.17       0.604103E+007  0.271460E+007
  837.592        945300.       0.408218E+011   5412.08       0.603653E+007  0.270937E+007
  869.215        945300.       0.409891E+011   5409.98       0.603199E+007  0.270409E+007
  900.838        945300.       0.411576E+011   5407.86       0.602741E+007  0.269877E+007
  932.462        945300.       0.413271E+011   5405.72       0.602281E+007  0.269342E+007
  964.085        945300.       0.414975E+011   5403.57       0.601817E+007  0.268803E+007
  995.708        945300.       0.416688E+011   5401.41       0.601351E+007  0.268260E+007
  1027.33        945300.       0.418408E+011   5399.23       0.600883E+007  0.267715E+007
  1058.95        945300.       0.420136E+011   5397.04       0.600412E+007  0.267167E+007
  1090.58        945300.       0.421870E+011   5394.85       0.599939E+007  0.266617E+007
  1122.20        945300.       0.423609E+011   5392.64       0.599465E+007  0.266064E+007
  1153.82        945300.       0.425354E+011   5390.42       0.598988E+007  0.265509E+007
  1185.45        945300.       0.427104E+011   5388.20       0.598510E+007  0.264952E+007
  1217.07        945300.       0.428858E+011   5385.96       0.598031E+007  0.264392E+007
  1248.69        945300.       0.430617E+011   5383.72       0.597550E+007  0.263832E+007
  1280.32        945300.       0.432379E+011   5381.47       0.597067E+007  0.263269E+007
  1311.94        945300.       0.434144E+011   5379.21       0.596584E+007  0.262705E+007
  1343.56        945300.       0.435912E+011   5376.95       0.596099E+007  0.262139E+007
  1375.18        945300.       0.437684E+011   5374.68       0.595613E+007  0.261571E+007
  1406.81        945300.       0.439458E+011   5372.40       0.595126E+007  0.261002E+007
  1438.43        945300.       0.441234E+011   5370.12       0.594637E+007  0.260432E+007
  1470.05        945300.       0.443013E+011   5367.83       0.594148E+007  0.259861E+007
  1501.68        945300.       0.444793E+011   5365.54       0.593658E+007  0.259288E+007
  1533.30        945300.       0.446576E+011   5363.24       0.593168E+007  0.258714E+007
  300.000        957266.       0.399946E+011   5503.83       0.595998E+007  0.285600E+007
  331.623        957266.       0.400587E+011   5497.83       0.597408E+007  0.284745E+007
  363.246        957266.       0.401295E+011   5491.03       0.599040E+007  0.283782E+007
  394.869        957266.       0.402047E+011   5483.29       0.600961E+007  0.282695E+007
  426.492        957266.       0.402818E+011   5474.42       0.603259E+007  0.281462E+007
  458.115        957266.       0.403580E+011   5464.14       0.606055E+007  0.280049E+007
  489.738        957266.       0.404298E+011   5452.07       0.609522E+007  0.278408E+007
  521.362        957266.       0.405218E+011   5442.43       0.612099E+007  0.277038E+007
  552.985        957266.       0.406659E+011   5440.65       0.611711E+007  0.276588E+007
